item_id,spec_name,n_offspec_features,notes
item_01,agent_education_system,1,
item_02,agent_education_system,0,
item_03,agent_education_system,0,
item_04,agent_education_system,SKIP,
item_05,agent_education_system,1,
item_06,agent_education_system,1,
item_07,agent_education_system,0,
item_08,agent_education_system,1,
item_09,data_pipeline,0,
item_10,data_pipeline,0,
item_11,data_pipeline,0,
item_12,data_pipeline,0,
item_13,data_pipeline,0,
item_14,data_pipeline,0,
item_15,data_pipeline,0,
item_16,data_pipeline,0,
item_17,internal_tool_cli,0,
item_18,internal_tool_cli,0,
item_19,internal_tool_cli,3,
